species_slug,BL,WL,under_sampled,red_list,cert_list,lists
potentilla-erecta,0,0,0,1,1,['red_list' 'cert_list']
potentilla-frigida,0,0,0,1,0,['red_list']
potentilla-grammopetala,0,0,0,1,0,['red_list']
potentilla-grandiflora,0,0,0,1,0,['red_list']
potentilla-heptaphylla,0,0,0,1,0,['red_list']
potentilla-incana,0,0,0,1,0,['red_list']
potentilla-inclinata,0,0,0,1,0,['red_list']
potentilla-leucopolitana,0,0,0,1,0,['red_list']
potentilla-micrantha,0,0,0,1,0,['red_list']
potentilla-multifida,0,0,0,1,0,['red_list']
potentilla-nivea,0,0,0,1,0,['red_list']
potentilla-palustris,0,0,0,1,0,['red_list']
potentilla-praecox,0,0,0,1,0,['red_list']
potentilla-pusilla,0,0,0,1,0,['red_list']
potentilla-recta,0,0,0,1,0,['red_list']
potentilla-reptans,0,0,0,1,1,['red_list' 'cert_list']
potentilla-rupestris,0,0,0,1,0,['red_list']
potentilla-sterilis,0,0,0,1,1,['red_list' 'cert_list']
potentilla-supina,0,0,0,1,0,['red_list']
potentilla-thuringiaca,0,0,0,1,0,['red_list']
potentilla-verna,0,0,0,1,0,['red_list']
prenanthes-purpurea,0,0,0,1,1,['red_list' 'cert_list']
primula-acaulis,0,0,0,1,0,['red_list']
primula-auricula,0,0,0,1,1,['red_list' 'cert_list']
primula-daonensis,0,0,0,1,0,['red_list']
primula-elatior,0,0,0,1,1,['red_list' 'cert_list']
primula-farinosa,0,0,0,1,1,['red_list' 'cert_list']
primula-glutinosa,0,0,0,1,0,['red_list']
primula-halleri,0,0,0,1,0,['red_list']
primula-hirsuta,0,0,0,1,1,['red_list' 'cert_list']
primula-integrifolia,0,0,0,1,0,['red_list']
primula-latifolia,0,0,0,1,0,['red_list']
primula-veris,0,0,0,3,1,['red_list' 'cert_list']
pritzelago-alpina,0,0,2,3,1,['under_sampled' 'red_list' 'cert_list']
prunella-grandiflora,0,0,0,1,0,['red_list']
prunella-laciniata,0,0,0,1,0,['red_list']
prunella-vulgaris,0,0,0,1,1,['red_list' 'cert_list']
prunus-avium,0,0,0,1,1,['red_list' 'cert_list']
prunus-laurocerasus,1,0,0,0,0,['BL']
prunus-mahaleb,0,0,0,1,1,['red_list' 'cert_list']
prunus-padus,0,0,0,3,1,['red_list' 'cert_list']
prunus-serotina,1,0,0,0,0,['BL']
prunus-spinosa,0,0,0,1,1,['red_list' 'cert_list']
pseudolysimachion-spicatum,0,0,0,1,0,['red_list']
pseudorchis-albida,0,0,0,1,0,['red_list']
pseudostellaria-europaea,0,0,0,1,0,['red_list']
pteridium-aquilinum,0,0,0,1,1,['red_list' 'cert_list']
pteris-cretica,0,0,0,1,0,['red_list']
ptychotis-saxifraga,0,0,0,1,0,['red_list']
puccinellia-distans,0,0,0,1,0,['red_list']
pueraria-lobata,1,0,0,0,0,['BL']
pulicaria-dysenterica,0,0,0,1,0,['red_list']
pulicaria-vulgaris,0,0,1,1,0,['under_sampled' 'red_list']
pulmonaria-australis,0,0,0,1,0,['red_list']
pulmonaria-collina,0,0,0,1,0,['red_list']
pulmonaria-helvetica,0,0,0,1,0,['red_list']
