No ISFS,Full Name,Short Name,Family,"200 Bellis","400 Iris","600 Dryas",Indigenat,"F value","R value","N value"
79790,Cardamine pratensis L.,Cardamine pratensis,Brassicaceae,*,*,*,I,3.5,3,4
80300,Cardamine resedifolia L.,Cardamine resedifolia,Brassicaceae,,,*,I,3,2,2
81595,Carduus defloratus L.,Carduus defloratus,Asteraceae,,,*,I,2,4,3
82400,Carduus personata (L.) Jacq.,Carduus personata,Asteraceae,,*,*,I,4,4,5
83000,Carex acutiformis Ehrh.,Carex acutiformis,Cyperaceae,,,*,I,4.5,4,4
83350,Carex atrata L.,Carex atrata,Cyperaceae,,,*,I,3.5,3,2
84900,Carex caryophyllea Latourr.,Carex caryophyllea,Cyperaceae,*,*,*,I,2.5,3,2
85395,Carex curvula All.,Carex curvula,Cyperaceae,,,*,I,2,2,2
85700,Carex davalliana Sm.,Carex davalliana,Cyperaceae,,*,*,I,4.5,4,2
86100,Carex digitata L.,Carex digitata,Cyperaceae,,*,*,I,2.5,3,2
86700,Carex echinata Murray,Carex echinata,Cyperaceae,,*,*,I,4.5,2,2
86800,Carex elata All.,Carex elata,Cyperaceae,,*,*,I,5,3,3
87200,Carex ferruginea Scop.,Carex ferruginea,Cyperaceae,,,*,I,3.5,4,3
87400,Carex firma Host,Carex firma,Cyperaceae,,,*,I,2,5,1
87500,Carex flacca Schreb.,Carex flacca,Cyperaceae,*,*,*,I,2.5,4,2
87600,Carex flava L.,Carex flava,Cyperaceae,*,*,*,I,4.5,3,3
88600,Carex hirta L.,Carex hirta,Cyperaceae,,*,*,I,3.5,3,4
90500,Carex muricata aggr.,Carex muricata aggr.,Cyperaceae,,*,*,I,x,x,x
90700,Carex nigra (L.) Reichard,Carex nigra,Cyperaceae,*,*,*,I,4.5,2,2
91600,Carex pallescens L.,Carex pallescens,Cyperaceae,,*,*,I,3,2,3
91700,Carex panicea L.,Carex panicea,Cyperaceae,,*,*,I,4.5,4,2
92000,Carex parviflora Host,Carex parviflora,Cyperaceae,,,*,I,3.5,5,2
92300,Carex pendula Huds.,Carex pendula,Cyperaceae,,*,*,I,4,3,4
93900,Carex sempervirens Vill.,Carex sempervirens,Cyperaceae,,,*,I,2,3,2
94700,Carex sylvatica Huds.,Carex sylvatica,Cyperaceae,*,*,*,I,3.5,3,3
95800,Carlina acaulis L.,Carlina acaulis,Asteraceae,,,*,I,2.5,3,2
96900,Carpinus betulus L.,Carpinus betulus,Betulaceae,*,*,*,I,3,3,3
97100,Carum carvi L.,Carum carvi,Apiaceae,,*,*,I,3,3,3
97200,Castanea sativa Mill.,Castanea sativa,Fagaceae,,*,*,ARCH,3,2,2
98500,Centaurea cyanus L.,Centaurea cyanus,Asteraceae,,*,*,I,2.5,3,3
98750,Centaurea jacea L.,Centaurea jacea,Asteraceae,*,*,*,I,2.5,3,3
99200,Centaurea montana L.,Centaurea montana,Asteraceae,,*,*,I,3,4,3
99995,Centaurea scabiosa L.,Centaurea scabiosa,Asteraceae,*,*,*,I,2,4,2
102595,Cerastium arvense L.,Cerastium arvense,Caryophyllaceae,,,*,I,2,3,2
